round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Marat Safin,1-6 6-3 6-4 6-4,2005,m,Marat Safin,Lleyton Hewitt,RUS,AUS,60%,49%,18,7,1,3,73%,70%,57%,52%,215,202,201,183,148,148,36%,38%,39%,34%,122,113,54,33,36,22,60%,59%
semi,Lleyton Hewitt,3-6 7-6(3) 7-6(4) 6-1,2005,m,Lleyton Hewitt,Andy Roddick,AUS,USA,62%,56%,14,31,7,9,83%,81%,47%,42%,202,231,180,205,173,173,25%,25%,36%,30%,142,127,48,66,21,50,71%,56%
semi,Marat Safin,5-7 6-4 5-7 7-6(6) 9-7,2005,m,Marat Safin,Roger Federer,RUS,SUI,59%,57%,16,22,1,8,74%,82%,52%,51%,220,213,204,191,160,160,31%,29%,31%,35%,194,201,65,72,60,59,74%,76%
quarter,Lleyton Hewitt,6-3 6-2 1-6 3-6 10-8,2005,m,Lleyton Hewitt,David Nalbandian,AUS,ARG,50%,62%,16,4,6,4,73%,71%,51%,45%,213,193,181,168,144,144,38%,50%,39%,38%,158,153,49,36,49,59,68%,80%
quarter,Andy Roddick,6-3 7-5 4-1 ret.,2005,m,Andy Roddick,Nikolay Davydenko,USA,RUS,66%,58%,17,5,2,3,79%,65%,52%,42%,230,207,207,189,154,154,56%,20%,45%,30%,88,65,29,25,23,32,50%,64%
quarter,Roger Federer,6-3 6-4 6-4,2005,m,Roger Federer,Andre Agassi,SUI,USA,66%,56%,22,1,4,2,77%,75%,62%,51%,209,202,193,176,151,151,50%,0%,35%,28%,99,79,46,13,31,20,68%,68%
quarter,Marat Safin,6-2 6-4 6-2,2005,m,Marat Safin,Dominik Hrbaty,RUS,SVK,49%,44%,14,2,2,0,88%,63%,57%,43%,222,213,204,188,149,149,75%,25%,49%,28%,85,56,33,12,21,29,59%,70%
Fourth,Nikolay Davydenko,6-3 6-4 6-3,2005,m,Nikolay Davydenko,Guillermo Canas,RUS,ARG,60%,51%,6,1,5,4,71%,59%,60%,66%,205,201,185,186,146,146,63%,25%,38%,33%,93,78,35,17,40,25,82%,60%
Fourth,David Nalbandian,5-7 7-5 6-3 6-0,2005,m,David Nalbandian,Guillermo Coria,ARG,ARG,62%,66%,1,4,5,3,69%,60%,35%,30%,193,197,170,167,131,131,63%,30%,50%,44%,146,128,40,32,55,39,64%,68%
Fourth,Andy Roddick,6-3 7-6(6) 6-1,2005,m,Andy Roddick,Philipp Kohlschreiber,USA,GER,69%,56%,15,5,2,2,85%,74%,63%,53%,228,202,191,181,138,138,75%,0%,35%,22%,94,69,28,18,25,26,73%,64%
Fourth,Lleyton Hewitt,7-5 3-6 1-6 7-6(3) 6-2,2005,m,Lleyton Hewitt,Rafael Nadal,AUS,ESP,51%,69%,18,5,6,3,76%,65%,52%,57%,205,193,183,170,136,136,29%,33%,38%,36%,154,152,62,46,61,49,64%,69%
Fourth,Andre Agassi,6-7(4) 7-6(5) 7-6(3) 6-4,2005,m,Andre Agassi,Joachim Johansson,USA,SWE,65%,64%,16,51,4,9,81%,81%,60%,51%,202,225,172,197,178,178,30%,50%,30%,26%,147,141,35,96,13,66,89%,76%
Fourth,Dominik Hrbaty,7-5 6-3 6-1,2005,m,Dominik Hrbaty,Thomas Johansson,SVK,SWE,58%,60%,6,12,2,5,87%,60%,58%,44%,201,213,176,178,144,144,50%,0%,46%,26%,108,78,29,27,29,41,79%,47%
Fourth,Marat Safin,4-6 7-6(1) 7-6(5) 7-6(2),2005,m,Marat Safin,Olivier Rochus,RUS,BEL,62%,63%,29,1,1,3,83%,72%,60%,45%,222,186,193,165,141,141,6%,40%,38%,26%,173,147,78,36,66,37,62%,69%
Fourth,Roger Federer,6-2 6-2 7-6(4),2005,m,Roger Federer,Marcos Baghdatis,SUI,CYP,60%,53%,9,4,0,1,85%,59%,65%,56%,210,202,186,186,139,139,63%,100%,43%,23%,101,73,36,25,23,25,67%,64%
Third,David Nalbandian,6-7(3) 7-5 6-2 6-3,2005,m,David Nalbandian,Fernando Gonzalez,ARG,CHI,64%,63%,10,7,5,8,77%,65%,48%,39%,186,205,167,173,152,152,33%,25%,44%,34%,159,136,46,53,37,65,68%,65%
Third,Lleyton Hewitt,6-2 4-6 6-1 6-4,2005,m,Lleyton Hewitt,Juan Ignacio Chela,AUS,ARG,62%,68%,9,1,3,3,74%,56%,50%,52%,207,186,181,176,141,141,44%,60%,46%,35%,115,93,39,23,37,36,79%,60%
Third,Guillermo Coria,6-3 6-2 6-1,2005,m,Guillermo Coria,Juan Carlos Ferrero,ARG,ESP,65%,58%,5,2,2,3,65%,48%,52%,38%,197,199,168,176,143,143,64%,38%,56%,40%,97,70,29,25,23,32,76%,63%
Third,Guillermo Canas,6-1 6-2 6-2,2005,m,Guillermo Canas,Radek Stepanek,ARG,CZE,63%,61%,3,1,1,1,76%,53%,64%,27%,202,202,175,188,159,159,50%,25%,58%,28%,86,47,15,22,10,48,68%,55%
Third,Andy Roddick,6-2 6-2 7-5,2005,m,Andy Roddick,Jurgen Melzer,USA,AUT,68%,67%,22,2,0,3,83%,57%,71%,48%,225,207,193,178,148,148,50%,0%,46%,21%,103,67,41,30,12,33,42%,69%
Third,Philipp Kohlschreiber,7-5 6-3 6-2,2005,m,Philipp Kohlschreiber,Jean-Rene Lisnard,GER,MON,60%,50%,1,2,2,5,74%,58%,64%,50%,201,197,178,183,146,146,67%,20%,46%,30%,108,81,29,28,29,36,61%,48%
Third,Rafael Nadal,6-1 6-1 6-3,2005,m,Rafael Nadal,Bobby Reynolds,ESP,USA,62%,54%,2,3,3,9,81%,54%,54%,38%,191,209,172,191,165,165,50%,50%,54%,29%,86,52,23,15,18,46,100%,43%
Third,Nikolay Davydenko,6-4 6-2 6-2,2005,m,Nikolay Davydenko,Tim Henman,RUS,GBR,73%,59%,1,2,0,5,69%,67%,68%,40%,196,201,168,176,149,149,33%,0%,44%,32%,106,83,31,21,16,32,55%,49%
Third,Thomas Johansson,3-6 6-2 6-7(4) 6-2 6-2,2005,m,Thomas Johansson,Kevin Kim,SWE,USA,56%,55%,17,14,3,7,82%,69%,60%,42%,213,202,181,180,131,131,44%,40%,43%,27%,165,128,57,44,53,67,77%,47%
Third,Roger Federer,6-3 5-2 ret.,2005,m,Roger Federer,Jarkko Nieminen,SUI,FIN,71%,64%,2,1,1,3,66%,44%,57%,45%,209,202,181,178,130,130,71%,40%,55%,37%,62,43,19,14,19,15,63%,27%
Third,Dominik Hrbaty,7-6(5) 6-7(8) 6-7(3) 6-1 6-3,2005,m,Dominik Hrbaty,Gaston Gaudio,SVK,ARG,55%,61%,15,8,8,7,72%,68%,42%,41%,210,197,183,173,139,139,45%,27%,43%,41%,200,192,70,48,88,75,56%,78%
Third,Andre Agassi,7-5 7-6(3) 6-1,2005,m,Andre Agassi,Taylor Dent,USA,USA,63%,66%,3,2,0,9,72%,58%,61%,34%,199,230,173,188,170,170,40%,36%,50%,32%,117,85,42,31,6,39,64%,51%
Third,Joachim Johansson,6-3 3-6 5-7 7-6(2) 13-11,2005,m,Joachim Johansson,Feliciano Lopez,SWE,ESP,63%,60%,38,34,5,8,75%,78%,63%,57%,226,213,197,194,162,162,21%,23%,30%,29%,200,199,99,76,67,32,72%,70%
Third,Olivier Rochus,6-7(6) 6-1 6-4 6-2,2005,m,Olivier Rochus,Karol Beck,BEL,SVK,62%,55%,4,12,3,8,73%,74%,58%,38%,185,199,165,176,143,143,35%,11%,42%,33%,147,123,42,39,29,51,68%,61%
Third,Marcos Baghdatis,7-6(2) 6-4 6-1,2005,m,Marcos Baghdatis,Tommy Robredo,CYP,ESP,52%,65%,4,3,2,5,82%,71%,49%,23%,207,194,181,168,146,146,40%,40%,46%,34%,115,94,32,30,14,37,79%,78%
Third,Marat Safin,6-4 3-6 6-3 6-4,2005,m,Marat Safin,Mario Ancic,RUS,CRO,56%,63%,11,6,1,7,72%,76%,63%,45%,220,222,201,193,157,157,50%,40%,36%,32%,120,113,37,24,44,44,64%,74%
Second,Guillermo Canas,3-6 7-5 6-3 6-0,2005,m,Guillermo Canas,Fernando Verdasco,ARG,ESP,61%,61%,9,2,5,6,66%,49%,50%,51%,207,212,178,176,154,154,50%,45%,50%,40%,127,104,27,44,29,64,94%,56%
Second,Bobby Reynolds,7-6(6) 6-2 6-2,2005,m,Bobby Reynolds,Andrei Pavel,USA,ROU,58%,67%,10,5,1,6,73%,66%,63%,33%,,,,,,,60%,29%,45%,31%,98,77,34,28,25,34,57%,67%
Second,Philipp Kohlschreiber,6-0 2-0 ret.,2005,m,Philipp Kohlschreiber,Nicolas Massu,GER,CHI,66%,43%,5,0,0,2,79%,33%,60%,8%,205,196,176,170,144,144,80%,0%,81%,28%,38,12,16,1,8,7,83%,25%
Second,Jurgen Melzer,6-3 6-2 7-6(3),2005,m,Jurgen Melzer,Nathan Healey,AUT,AUS,72%,50%,3,6,3,5,83%,67%,50%,54%,201,213,181,183,154,154,57%,100%,40%,26%,95,70,30,24,14,20,57%,51%
Second,Jean-Rene Lisnard,1-6 4-6 6-3 6-4 6-3,2005,m,Jean-Rene Lisnard,Sebastien Grosjean,MON,FRA,52%,58%,1,11,8,6,67%,63%,42%,41%,196,213,178,176,127,127,43%,80%,46%,45%,146,146,43,43,52,52,71%,59%
Second,Juan Ignacio Chela,7-6(7) 6-2 7-6(3),2005,m,Juan Ignacio Chela,Gregory Carraz,ARG,FRA,70%,62%,5,8,2,3,79%,72%,71%,54%,,,,,,,38%,14%,35%,24%,116,95,47,50,21,44,80%,62%
Second,David Nalbandian,6-0 6-3 2-6 6-2,2005,m,David Nalbandian,Santiago Ventura,ARG,ESP,58%,41%,3,10,1,5,67%,67%,65%,41%,188,205,167,189,141,141,47%,33%,47%,33%,117,91,26,37,27,53,74%,64%
Second,Radek Stepanek,7-6(5) 6-1 1-6 6-7(2) 6-0,2005,m,Radek Stepanek,Jan Hernych,CZE,CZE,58%,64%,11,0,6,3,75%,59%,40%,57%,,,,,,,50%,42%,42%,40%,155,147,46,30,53,49,65%,66%
Second,Nikolay Davydenko,6-4 6-4 6-2,2005,m,Nikolay Davydenko,Christophe Rochus,RUS,BEL,56%,65%,14,0,4,0,80%,56%,45%,47%,,,,,,,60%,40%,47%,36%,101,82,37,14,45,27,57%,59%
Second,Guillermo Coria,6-4 6-7(3) 6-3 7-6(3),2005,m,Guillermo Coria,Ricardo Mello,ARG,BRA,59%,61%,4,8,2,5,64%,60%,45%,46%,197,193,167,168,136,136,42%,54%,46%,44%,162,158,58,57,40,62,68%,72%
Second,Juan Carlos Ferrero,6-1 6-2 6-0,2005,m,Juan Carlos Ferrero,Mariano Zabaleta,ESP,ARG,71%,50%,2,2,1,5,71%,59%,62%,34%,191,197,168,185,152,152,64%,0%,53%,32%,81,50,17,13,19,44,78%,46%
Second,Tim Henman,7-5 6-1 6-4,2005,m,Tim Henman,Victor Hanescu,GBR,ROU,65%,71%,10,8,2,1,78%,57%,58%,59%,197,202,181,186,162,162,42%,20%,42%,28%,98,76,45,24,19,19,74%,41%
Second,Rafael Nadal,6-1 4-6 4-6 7-5 6-3,2005,m,Rafael Nadal,Mikhail Youzhny,ESP,RUS,71%,52%,0,9,2,5,66%,64%,47%,48%,197,205,168,191,151,151,64%,43%,44%,40%,153,140,29,55,33,57,70%,65%
Second,Fernando Gonzalez,7-5 6-2 6-3,2005,m,Fernando Gonzalez,Igor Andreev,CHI,RUS,67%,62%,4,3,2,4,80%,65%,70%,43%,202,217,170,189,149,149,22%,0%,44%,23%,111,81,32,21,16,30,81%,45%
Second,Lleyton Hewitt,4-6 7-6(8) 6-0 6-3,2005,m,Lleyton Hewitt,James Blake,AUS,USA,60%,53%,7,9,7,8,81%,65%,47%,48%,205,213,186,196,152,152,40%,60%,43%,33%,130,112,32,29,30,50,79%,63%
Second,Andy Roddick,6-0 3-6 6-2 6-3,2005,m,Andy Roddick,Greg Rusedski,USA,GBR,72%,62%,11,12,2,4,89%,70%,67%,37%,218,220,197,194,170,170,38%,50%,43%,17%,106,71,49,37,8,20,69%,52%
Second,Joachim Johansson,6-3 7-5 6-4,2005,m,Joachim Johansson,Peter Wessels,SWE,NED,62%,63%,21,5,4,2,77%,75%,57%,58%,223,205,197,186,146,146,50%,0%,32%,30%,101,92,58,26,40,16,63%,59%
Second,Karol Beck,5-7 2-6 6-2 7-6(5) 6-3,2005,m,Karol Beck,Tommy Haas,SVK,GER,53%,53%,14,13,11,9,79%,66%,46%,55%,197,205,181,186,160,160,38%,43%,39%,37%,155,151,56,44,49,62,63%,64%
Second,Kevin Kim,6-2 6-4 6-2,2005,m,Kevin Kim,Guillermo Garcia-Lopez,USA,ESP,71%,61%,5,3,1,3,80%,68%,67%,32%,201,199,176,170,152,152,45%,0%,46%,24%,95,64,25,20,22,42,80%,75%
