round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,SUI,CYP,53%,48%,11,6,6,2,71%,71%,51%,37%,209,217,185,197,146,146,67%,30%,46%,38%,142,116,50,34,48,48,78%,52%
semi,Roger Federer,6-3 5-7 6-0 6-2,2006,m,Roger Federer,Nicolas Kiefer,SUI,GER,66%,51%,7,14,5,7,71%,71%,67%,38%,205,222,186,196,154,154,32%,25%,45%,30%,129,99,39,33,33,53,79%,70%
semi,Marcos Baghdatis,3-6 5-7 6-3 6-4 6-4,2006,m,Marcos Baghdatis,David Nalbandian,CYP,ARG,56%,67%,15,5,2,1,70%,63%,50%,50%,218,193,196,170,148,148,62%,41%,41%,39%,152,143,52,48,41,56,63%,81%
quarter,Roger Federer,6-4 3-6 7-6(7) 7-6(5),2006,m,Roger Federer,Nikolay Davydenko,SUI,RUS,62%,77%,6,1,0,2,74%,70%,53%,42%,210,209,189,173,151,151,40%,50%,36%,34%,144,139,46,30,52,48,60%,72%
quarter,Nicolas Kiefer,6-3 0-6 6-4 6-7(1) 8-6,2006,m,Nicolas Kiefer,Sebastien Grosjean,GER,FRA,45%,51%,4,12,9,2,62%,64%,51%,53%,220,215,189,183,139,139,56%,69%,41%,44%,160,169,34,59,67,55,58%,59%
quarter,David Nalbandian,7-5 6-0 6-0,2006,m,David Nalbandian,Fabrice Santoro,ARG,FRA,61%,61%,2,4,0,1,74%,59%,72%,20%,191,194,173,173,133,133,53%,33%,57%,27%,90,50,47,18,17,15,81%,40%
quarter,Marcos Baghdatis,6-4 6-2 4-6 3-6 6-3,2006,m,Marcos Baghdatis,Ivan Ljubicic,CYP,CRO,53%,64%,8,14,4,3,80%,71%,60%,54%,213,220,196,193,154,154,27%,22%,35%,30%,146,139,47,61,26,57,67%,70%
Fourth,Nicolas Kiefer,7-6(4) 6-3 6-3,2006,m,Nicolas Kiefer,Juan Ignacio Chela,GER,ARG,46%,57%,5,2,3,0,84%,63%,51%,53%,218,194,196,181,146,146,71%,22%,41%,34%,101,87,41,24,33,22,76%,50%
Fourth,Sebastien Grosjean,7-5 6-2 6-2,2006,m,Sebastien Grosjean,Paul-Henri Mathieu,FRA,FRA,43%,49%,12,3,3,4,94%,52%,46%,47%,212,207,193,185,152,152,57%,75%,51%,33%,93,68,29,17,23,49,60%,57%
Fourth,Roger Federer,6-4 6-0 3-6 4-6 6-2,2006,m,Roger Federer,Tommy Haas,SUI,GER,58%,64%,10,5,1,0,78%,63%,53%,57%,217,209,191,191,152,152,55%,22%,39%,33%,143,127,66,31,58,36,66%,69%
