round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Roger Federer,7-6(2) 6-4 6-4,2007,m,Roger Federer,Fernando Gonzalez,SUI,CHI,58%,61%,5,6,1,3,82%,69%,78%,46%,,,,,,,30%,100%,40%,20%,120,93,45,31,19,28,79%,64%
semi,Fernando Gonzalez,6-1 6-3 6-1,2007,m,Fernando Gonzalez,Tommy Haas,CHI,GER,63%,60%,9,0,0,4,87%,63%,64%,26%,,,,,,,58%,-,51%,22%,82,45,42,20,3,21,72%,55%
semi,Roger Federer,6-4 6-0 6-2,2007,m,Roger Federer,Andy Roddick,SUI,USA,51%,63%,10,4,2,2,81%,54%,68%,29%,,,,,,,100%,100%,55%,25%,83,45,45,11,12,18,91%,29%
quarter,Tommy Haas,6-3 2-6 1-6 6-1 7-5,2007,m,Tommy Haas,Nikolay Davydenko,GER,RUS,59%,70%,9,5,8,2,69%,62%,48%,55%,,,,,,,38%,60%,40%,37%,134,132,40,43,45,33,58%,78%
quarter,Fernando Gonzalez,6-2 6-4 6-3,2007,m,Fernando Gonzalez,Rafael Nadal,CHI,ESP,66%,71%,10,1,0,2,73%,70%,61%,35%,,,,,,,63%,0%,40%,31%,89,73,41,14,16,21,80%,65%
quarter,Roger Federer,6-3 7-6(2) 7-5,2007,m,Roger Federer,Tommy Robredo,SUI,ESP,63%,61%,5,4,1,4,72%,63%,58%,37%,,,,,,,50%,50%,47%,33%,119,94,42,17,31,28,73%,57%
quarter,Andy Roddick,6-2 6-2 6-2,2007,m,Andy Roddick,Mardy Fish,USA,USA,62%,44%,10,12,2,5,92%,65%,52%,31%,,,,,,,54%,100%,54%,23%,85,46,25,28,2,26,82%,53%
Fourth,Tommy Haas,4-6 6-3 6-2 6-3,2007,m,Tommy Haas,David Nalbandian,GER,ARG,71%,55%,16,9,2,6,76%,63%,45%,49%,,,,,,,55%,29%,43%,33%,127,104,56,41,28,25,82%,74%
Fourth,Nikolay Davydenko,5-7 6-4 6-1 7-6(5),2007,m,Nikolay Davydenko,Tomas Berdych,RUS,CZE,58%,57%,8,6,5,7,76%,68%,56%,46%,,,,,,,43%,25%,41%,33%,139,118,40,24,47,60,86%,52%
Fourth,Fernando Gonzalez,7-5 6-4 7-6(4),2007,m,Fernando Gonzalez,James Blake,CHI,USA,70%,50%,18,8,1,6,75%,75%,55%,46%,,,,,,,38%,38%,40%,31%,114,99,52,44,24,34,75%,69%
Fourth,Rafael Nadal,6-7(3) 6-4 4-6 6-3 6-1,2007,m,Rafael Nadal,Andy Murray,ESP,GBR,73%,53%,5,15,1,9,69%,74%,55%,43%,,,,,,,44%,18%,38%,35%,166,149,53,64,32,67,72%,69%
Fourth,Tommy Robredo,6-4 6-2 3-6 6-4,2007,m,Tommy Robredo,Richard Gasquet,ESP,FRA,63%,78%,8,1,1,2,78%,60%,55%,55%,,,,,,,19%,33%,41%,30%,133,117,51,44,29,38,78%,68%
Fourth,Mardy Fish,6-1 7-6(4) 2-6 7-5,2007,m,Mardy Fish,David Ferrer,USA,ESP,52%,69%,15,7,5,1,75%,68%,57%,49%,,,,,,,80%,60%,38%,34%,126,112,54,29,53,23,63%,64%
Fourth,Roger Federer,6-2 7-5 6-3,2007,m,Roger Federer,Novak Djokovic,SUI,SRB,63%,61%,12,7,1,2,80%,61%,67%,46%,,,,,,,63%,50%,45%,25%,105,76,51,17,26,33,63%,54%
Fourth,Andy Roddick,6-3 3-6 6-1 5-7 6-4,2007,m,Andy Roddick,Mario Ancic,USA,CRO,69%,64%,16,21,1,3,79%,73%,49%,60%,,,,,,,36%,75%,31%,30%,134,129,52,60,19,33,62%,63%
Third,Tommy Haas,7-6(3) 6-3 6-3,2007,m,Tommy Haas,Florian Mayer,GER,GER,66%,60%,6,10,2,2,75%,58%,52%,49%,,,,,,,50%,33%,46%,33%,119,96,49,32,33,25,77%,71%
Third,Tomas Berdych,6-2 6-1 6-1,2007,m,Tomas Berdych,Dmitry Tursunov,CZE,RUS,59%,52%,8,5,2,6,88%,50%,58%,38%,,,,,,,54%,-,56%,24%,87,48,28,15,17,36,82%,38%
Third,James Blake,7-6(7) 7-5 6-2,2007,m,James Blake,Robby Ginepri,USA,USA,63%,58%,10,5,3,0,80%,62%,66%,55%,,,,,,,46%,75%,41%,25%,111,89,36,19,36,40,68%,65%
Third,David Nalbandian,5-7 4-6 7-6(4) 6-4 6-1,2007,m,David Nalbandian,Sebastien Grosjean,ARG,FRA,63%,53%,14,15,6,2,68%,74%,49%,37%,,,,,,,36%,35%,43%,38%,183,164,63,58,57,53,84%,67%
Third,Nikolay Davydenko,7-6(1) 6-2 6-2,2007,m,Nikolay Davydenko,Fabrice Santoro,RUS,FRA,62%,50%,6,4,2,1,75%,64%,63%,50%,,,,,,,63%,50%,43%,29%,103,77,62,19,38,16,74%,41%
Third,Rafael Nadal,6-2 6-2 6-2,2007,m,Rafael Nadal,Stanislas Wawrinka,ESP,SUI,74%,57%,1,4,3,2,84%,58%,39%,33%,,,,,,,64%,100%,53%,27%,99,62,21,25,19,32,73%,62%
Third,Fernando Gonzalez,6-2 6-2 5-7 6-4,2007,m,Fernando Gonzalez,Lleyton Hewitt,CHI,AUS,66%,58%,19,17,3,7,73%,77%,66%,33%,,,,,,,32%,67%,41%,29%,125,106,66,44,15,29,72%,61%
Third,Andy Murray,6-3 6-2 6-4,2007,m,Andy Murray,Juan Ignacio Chela,GBR,ARG,71%,67%,9,3,2,4,69%,61%,48%,29%,,,,,,,40%,50%,49%,37%,101,80,42,27,31,35,73%,60%
Third,Novak Djokovic,6-3 6-4 5-7 6-1,2007,m,Novak Djokovic,Danai Udomchoke,SRB,THA,74%,53%,15,1,1,4,68%,64%,55%,47%,,,,,,,47%,33%,44%,36%,131,111,59,25,55,32,69%,63%
Third,Andy Roddick,7-6(2) 2-6 6-4 7-6(2),2007,m,Andy Roddick,Marat Safin,USA,RUS,65%,61%,14,22,2,2,73%,74%,58%,46%,,,,,,,25%,57%,37%,32%,135,128,47,52,33,39,63%,69%
Third,Mardy Fish,3-0 ret.,2007,m,Mardy Fish,Wayne Arthurs,USA,AUS,75%,50%,3,0,0,2,100%,20%,100%,20%,,,,,,,67%,-,80%,0%,12,2,7,1,0,5,,
Third,David Ferrer,6-7(5) 4-6 6-0 6-4 6-3,2007,m,David Ferrer,Radek Stepanek,ESP,CZE,65%,59%,3,9,1,8,73%,66%,38%,36%,,,,,,,34%,46%,44%,39%,179,159,43,50,58,85,66%,50%
Third,Mario Ancic,6-3 6-2 6-1,2007,m,Mario Ancic,Dominik Hrbaty,CRO,SVK,76%,51%,13,0,0,3,74%,47%,50%,41%,,,,,,,88%,17%,56%,32%,94,57,34,18,19,27,80%,42%
Third,Richard Gasquet,6-0 4-6 7-5 6-3,2007,m,Richard Gasquet,Gael Monfils,FRA,FRA,76%,65%,6,9,2,3,79%,63%,58%,51%,,,,,,,67%,29%,41%,26%,117,88,42,36,22,37,63%,64%
Third,Roger Federer,6-3 6-3 7-6(5),2007,m,Roger Federer,Mikhail Youzhny,SUI,RUS,53%,54%,7,7,1,1,83%,78%,53%,39%,,,,,,,50%,25%,40%,31%,109,92,40,25,33,27,80%,50%
Third,Tommy Robredo,6-4 6-7(5) 6-2 6-1,2007,m,Tommy Robredo,Sam Querrey,ESP,USA,69%,59%,18,9,2,0,78%,75%,69%,44%,,,,,,,63%,0%,38%,25%,124,94,43,38,18,41,75%,66%
Second,Tommy Haas,7-6(3) 6-1 6-3,2007,m,Tommy Haas,Ilija Bozoljac,GER,SRB,76%,47%,18,18,1,9,86%,82%,67%,39%,,,,,,,44%,-,41%,18%,100,69,30,39,9,39,82%,50%
Second,Sebastien Grosjean,4-6 6-1 6-3 4-6 6-4,2007,m,Sebastien Grosjean,Olivier Rochus,FRA,BEL,50%,69%,20,4,0,7,79%,64%,49%,44%,,,,,,,32%,27%,40%,36%,168,151,74,40,53,43,61%,75%
Second,Lleyton Hewitt,6-4 6-4 3-6 6-4,2007,m,Lleyton Hewitt,Frank Dancevic,AUS,CAN,47%,53%,14,16,12,6,80%,75%,50%,49%,,,,,,,83%,43%,38%,36%,118,112,37,42,42,30,80%,52%
Second,Fabrice Santoro,6-2 6-4 6-4,2007,m,Fabrice Santoro,Arnaud Clement,FRA,FRA,48%,65%,13,1,2,1,83%,67%,67%,41%,,,,,,,36%,0%,42%,25%,97,70,41,30,11,21,62%,56%
Second,Juan Ignacio Chela,6-3 2-6 6-4 6-4,2007,m,Juan Ignacio Chela,Jarkko Nieminen,ARG,FIN,59%,60%,6,4,3,2,72%,69%,57%,48%,,,,,,,42%,50%,39%,34%,118,107,39,34,40,33,83%,80%
Second,Rafael Nadal,7-5 6-3 4-6 6-2,2007,m,Rafael Nadal,Philipp Kohlschreiber,ESP,GER,65%,53%,4,8,6,3,70%,60%,50%,50%,,,,,,,33%,31%,45%,37%,136,117,37,48,29,58,67%,62%
Second,Robby Ginepri,6-4 7-5 6-1,2007,m,Robby Ginepri,Mischa Zverev,USA,GER,65%,66%,10,9,2,4,75%,65%,49%,39%,,,,,,,25%,17%,44%,34%,123,107,62,39,27,25,67%,55%
Second,Dmitry Tursunov,6-2 6-3 7-6(4),2007,m,Dmitry Tursunov,Max Mirnyi,RUS,BLR,53%,67%,9,9,5,3,84%,65%,51%,42%,,,,,,,44%,20%,42%,32%,113,90,52,37,11,9,64%,48%
Second,Nikolay Davydenko,6-4 6-0 6-3,2007,m,Nikolay Davydenko,Gilles Muller,RUS,LUX,67%,67%,7,15,0,2,74%,59%,62%,41%,,,,,,,60%,0%,47%,30%,96,70,29,26,12,33,70%,48%
Second,David Nalbandian,6-4 6-4 6-4,2007,m,David Nalbandian,Nicolas Lapentti,ARG,ECU,62%,68%,4,5,2,2,86%,71%,63%,57%,,,,,,,43%,0%,33%,23%,90,76,38,26,27,22,76%,85%
Second,Florian Mayer,5-7 7-5 6-2 6-2,2007,m,Florian Mayer,Andreas Seppi,GER,ITA,52%,53%,8,6,5,3,65%,60%,50%,41%,,,,,,,53%,50%,49%,42%,131,114,26,42,40,79,53%,61%
Second,James Blake,6-4 6-1 6-2,2007,m,James Blake,Alex Kuznetsov,USA,USA,61%,59%,6,9,1,4,76%,68%,63%,20%,,,,,,,64%,100%,51%,29%,87,56,26,26,13,36,83%,46%
Second,Fernando Gonzalez,7-6(7) 4-6 6-7(3) 6-4 4-0 ret.,2007,m,Fernando Gonzalez,Juan Martin Del Potro,CHI,ARG,61%,60%,18,11,4,6,80%,67%,47%,54%,,,,,,,60%,57%,37%,32%,160,148,69,50,50,50,70%,57%
Second,Andy Murray,7-6(4) 7-5 6-4,2007,m,Andy Murray,Fernando Verdasco,GBR,ESP,52%,63%,4,7,0,7,67%,61%,50%,35%,,,,,,,41%,63%,49%,41%,117,101,30,47,19,49,75%,62%
Second,Stanislas Wawrinka,6-4 6-3 6-2,2007,m,Stanislas Wawrinka,Paul Capdeville,SUI,CHI,65%,70%,21,5,2,1,85%,66%,50%,39%,,,,,,,56%,50%,42%,28%,90,66,38,15,32,29,62%,78%
Second,Tomas Berdych,6-3 6-2 6-4,2007,m,Tomas Berdych,Robert Smeets,CZE,AUS,65%,54%,4,11,4,7,77%,70%,49%,33%,,,,,,,26%,11%,47%,33%,115,89,29,23,31,37,82%,67%
Second,Radek Stepanek,4-6 4-6 6-4 6-1 6-4,2007,m,Radek Stepanek,Lukas Dlouhy,CZE,CZE,66%,64%,16,12,1,3,70%,78%,56%,43%,,,,,,,55%,29%,35%,35%,147,139,48,64,39,45,59%,72%
Second,Gael Monfils,7-6(5) 6-2 2-6 6-0,2007,m,Gael Monfils,Marcos Baghdatis,FRA,CYP,57%,54%,11,6,4,2,69%,73%,54%,45%,,,,,,,35%,33%,40%,37%,116,109,30,23,38,52,68%,48%
Second,Novak Djokovic,6-2 7-5 6-1,2007,m,Novak Djokovic,Feliciano Lopez,SRB,ESP,69%,59%,8,5,1,6,69%,64%,67%,32%,,,,,,,40%,20%,49%,31%,103,73,24,24,19,36,56%,49%
Second,David Ferrer,6-2 6-7(5) 6-2 6-2,2007,m,David Ferrer,Thomas Johansson,ESP,SWE,61%,53%,5,9,0,5,73%,74%,64%,41%,,,,,,,54%,25%,42%,30%,121,96,41,29,32,48,73%,58%
Second,Mikhail Youzhny,7-5 6-4 6-4,2007,m,Mikhail Youzhny,Yen-Hsun Lu,RUS,TPE,47%,51%,8,4,6,6,78%,58%,46%,46%,,,,,,,47%,33%,48%,39%,113,95,42,27,28,19,77%,55%
Second,Tommy Robredo,6-1 6-3 6-3,2007,m,Tommy Robredo,Jurgen Melzer,ESP,AUT,67%,67%,5,1,1,4,70%,45%,52%,42%,,,,,,,50%,40%,56%,36%,96,64,40,19,22,31,75%,55%
Second,Mardy Fish,7-5 6-4 3-6 6-4,2007,m,Mardy Fish,Nicolas Mahut,USA,FRA,53%,53%,17,8,3,7,87%,73%,43%,52%,,,,,,,36%,50%,37%,34%,131,123,54,44,46,26,60%,64%
Second,Andy Roddick,6-3 7-6(4) 6-4,2007,m,Andy Roddick,Marc Gicquel,USA,FRA,67%,52%,18,10,2,2,84%,81%,61%,53%,,,,,,,33%,0%,32%,24%,100,83,45,35,22,19,61%,76%
Second,Wayne Arthurs,6-7(5) 6-1 6-4 6-4,2007,m,Wayne Arthurs,Zack Fleishman,AUS,USA,64%,47%,26,11,8,12,81%,83%,53%,47%,,,,,,,63%,25%,36%,29%,126,107,53,47,21,23,64%,78%
Second,Mario Ancic,3-6 7-5 6-2 6-2,2007,m,Mario Ancic,Guillermo Garcia-Lopez,CRO,ESP,70%,60%,8,2,3,3,67%,61%,59%,50%,,,,,,,58%,67%,43%,36%,117,101,30,25,36,48,70%,74%
Second,Roger Federer,6-2 6-3 6-2,2007,m,Roger Federer,Jonas Bjorkman,SUI,SWE,64%,60%,7,2,1,3,74%,52%,67%,38%,,,,,,,58%,100%,53%,29%,93,59,38,19,19,27,76%,47%
Second,Marat Safin,6-3 5-7 4-6 7-6(4) 6-0,2007,m,Marat Safin,Dudi Sela,RUS,ISR,65%,56%,13,1,6,8,64%,59%,49%,51%,,,,,,,50%,45%,42%,40%,160,148,51,38,55,33,64%,73%
Second,Dominik Hrbaty,5-7 6-4 6-4 6-3,2007,m,Dominik Hrbaty,Vince Spadea,SVK,USA,54%,58%,4,4,2,7,70%,64%,52%,45%,,,,,,,28%,31%,44%,39%,147,136,51,30,55,51,88%,62%
Second,Richard Gasquet,6-1 6-2 6-4,2007,m,Richard Gasquet,Amer Delic,FRA,BIH,66%,51%,5,6,1,3,85%,60%,64%,42%,,,,,,,71%,0%,49%,22%,90,51,21,13,14,39,81%,48%
Second,Sam Querrey,6-3 6-4 6-3,2007,m,Sam Querrey,Florent Serra,USA,FRA,61%,65%,16,5,4,3,85%,66%,63%,41%,,,,,,,33%,-,43%,24%,104,79,51,29,21,15,70%,56%
Second,Danai Udomchoke,7-6(0) 7-5 4-6 6-1,2007,m,Danai Udomchoke,Juan Carlos Ferrero,THA,ESP,58%,66%,7,6,11,3,73%,64%,49%,41%,,,,,,,30%,31%,44%,37%,166,142,49,54,55,56,79%,65%
First,Alex Kuznetsov,6-4 5-7 6-7(5) 6-1 6-4,2007,m,Alex Kuznetsov,Peter Luczak,USA,AUS,63%,66%,26,13,5,1,78%,72%,50%,45%,,,,,,,41%,36%,37%,31%,165,145,86,34,67,35,77%,59%
First,James Blake,7-6(8) 6-2 6-4,2007,m,James Blake,Carlos Moya,USA,ESP,57%,66%,18,8,1,1,82%,72%,73%,31%,,,,,,,60%,0%,42%,22%,112,80,50,25,21,26,86%,82%
First,Olivier Rochus,3-6 7-5 7-5 6-7(4) 9-7,2007,m,Olivier Rochus,Chris Guccione,BEL,AUS,64%,64%,6,45,6,3,85%,81%,58%,43%,,,,,,,25%,9%,33%,24%,196,180,70,89,21,59,85%,52%
First,Nicolas Lapentti,6-4 6-4 6-2,2007,m,Nicolas Lapentti,Alan Mackin,ECU,GBR,66%,61%,2,1,2,9,70%,60%,52%,41%,,,,,,,40%,20%,47%,36%,107,85,19,22,24,60,75%,60%
First,Sebastien Grosjean,6-2 4-1 ret.,2007,m,Sebastien Grosjean,Christophe Rochus,FRA,BEL,42%,74%,7,0,2,3,100%,56%,83%,33%,,,,,,,30%,-,50%,10%,57,32,25,13,7,25,80%,70%
First,Mischa Zverev,6-4 7-6(1) 3-6 6-4,2007,m,Mischa Zverev,Michael Berrer,GER,GER,65%,59%,16,10,3,15,70%,74%,56%,39%,,,,,,,50%,22%,40%,35%,145,128,54,59,20,47,56%,63%
First,Andy Murray,6-0 6-0 6-1,2007,m,Andy Murray,Alberto Martin,GBR,ESP,47%,48%,3,1,3,3,88%,39%,68%,33%,,,,,,,53%,-,64%,23%,78,33,19,12,17,41,86%,50%
First,Fernando Gonzalez,6-7(4) 7-6(6) 6-3 6-2,2007,m,Fernando Gonzalez,Evgeny Korolev,CHI,KAZ,64%,69%,11,14,1,5,84%,83%,64%,53%,,,,,,,60%,0%,27%,23%,130,115,37,56,22,42,54%,64%
First,Robert Smeets,6-2 3-6 6-1 6-4,2007,m,Robert Smeets,Lukas Lacko,AUS,SVK,52%,59%,14,5,4,5,87%,66%,56%,55%,,,,,,,36%,17%,39%,28%,115,94,41,23,37,35,79%,65%
First,Jarkko Nieminen,5-7 6-2 7-6(4) 6-4,2007,m,Jarkko Nieminen,Paul Goldstein,FIN,USA,56%,49%,9,9,10,5,72%,65%,41%,46%,,,,,,,53%,35%,44%,42%,144,135,60,52,52,51,62%,67%
First,Andreas Seppi,6-1 6-7(4) 6-7(5) 7-6(3) 6-3,2007,m,Andreas Seppi,Bobby Reynolds,ITA,USA,50%,54%,23,21,10,8,82%,77%,58%,42%,,,,,,,50%,29%,40%,30%,184,151,76,36,70,73,75%,87%
First,Philipp Kohlschreiber,5-7 6-3 6-2 6-4,2007,m,Philipp Kohlschreiber,Kristof Vliegen,GER,BEL,61%,62%,11,11,3,3,76%,68%,52%,43%,,,,,,,30%,20%,41%,33%,140,123,55,45,38,55,67%,48%
First,Rafael Nadal,7-6(6) 6-3 6-2,2007,m,Rafael Nadal,Robert Kendrick,ESP,USA,61%,57%,7,7,2,6,75%,75%,71%,38%,,,,,,,43%,-,41%,26%,104,81,29,32,14,43,72%,54%
First,Gilles Muller,6-0 4-6 6-2 6-3,2007,m,Gilles Muller,Gaston Gaudio,LUX,ARG,66%,57%,24,5,3,9,80%,64%,59%,43%,,,,,,,86%,25%,45%,27%,112,79,55,14,39,33,65%,50%
First,Max Mirnyi,7-6(4) 3-6 2-6 6-4 6-4,2007,m,Max Mirnyi,Luis Horna,BLR,PER,55%,75%,23,7,4,8,79%,70%,47%,51%,,,,,,,16%,36%,35%,36%,163,166,70,70,19,20,49%,72%
First,Tommy Haas,7-5 6-1 7-6(3),2007,m,Tommy Haas,Albert Montanes,GER,ESP,69%,68%,17,5,4,3,84%,66%,72%,41%,,,,,,,33%,100%,42%,20%,107,74,50,28,25,23,68%,56%
