round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Roger Federer,7-6(3) 6-4 6-2,2004,m,Roger Federer,Marat Safin,SUI,RUS,53%,49%,8,3,2,5,75%,63%,60%,47%,201,209,178,187,140,140,28%,67%,45%,32%,113,93,40,19,28,41,68%,55%
semi,Roger Federer,6-4 6-1 6-4,2004,m,Roger Federer,Juan Carlos Ferrero,SUI,ESP,72%,58%,11,6,1,0,83%,66%,43%,53%,195,195,179,177,144,144,67%,0%,39%,28%,88,66,34,21,22,19,76%,58%
semi,Marat Safin,7-6(6) 7-6(6) 5-7 1-6 6-3,2004,m,Marat Safin,Andre Agassi,RUS,USA,55%,59%,33,10,0,2,77%,76%,56%,52%,211,198,195,176,148,148,29%,50%,34%,32%,170,171,79,44,48,33,54%,82%
quarter,Juan Carlos Ferrero,6-1 7-6(6) 7-6(5),2004,m,Juan Carlos Ferrero,Hicham Arazi,ESP,MAR,54%,63%,19,18,6,2,74%,75%,56%,56%,211,219,191,197,161,161,36%,43%,32%,34%,148,154,60,50,52,55,69%,68%
quarter,Roger Federer,7-5 6-4 5-7 6-3,2004,m,Roger Federer,David Nalbandian,SUI,ARG,60%,65%,20,5,3,2,83%,68%,43%,61%,200,185,181,167,139,139,42%,27%,34%,33%,125,119,50,26,55,30,79%,57%
quarter,Andre Agassi,6-2 2-0 ret.,2004,m,Andre Agassi,Sebastien Grosjean,USA,FRA,67%,56%,4,4,0,1,75%,64%,60%,25%,191,201,163,185,138,138,38%,-,53%,30%,45,30,10,14,8,22,100%,57%
quarter,Marat Safin,2-6 6-3 7-5 6-7(0) 6-4,2004,m,Marat Safin,Andy Roddick,RUS,USA,54%,63%,19,18,6,2,74%,75%,56%,56%,211,219,191,197,161,161,36%,43%,32%,34%,148,154,60,50,52,55,69%,68%
Fourth,Hicham Arazi,6-2 6-2 6-4,2004,m,Hicham Arazi,Mark Philippoussis,MAR,AUS,63%,66%,7,8,2,5,78%,70%,53%,27%,195,209,172,191,151,151,50%,0%,45%,31%,99,75,34,34,10,38,89%,64%
Fourth,Roger Federer,4-6 6-3 6-0 6-4,2004,m,Roger Federer,Lleyton Hewitt,SUI,AUS,59%,65%,14,5,4,5,74%,66%,56%,49%,200,200,179,175,146,146,38%,14%,40%,33%,123,107,53,17,41,29,60%,41%
Fourth,David Nalbandian,6-4 6-2 6-1,2004,m,David Nalbandian,Guillermo Canas,ARG,ARG,61%,57%,8,5,1,7,80%,62%,65%,33%,196,200,169,173,147,147,47%,33%,51%,25%,97,63,42,11,31,28,78%,43%
Fourth,Juan Carlos Ferrero,6-4 3-6 6-3 6-2,2004,m,Juan Carlos Ferrero,Andrei Pavel,ESP,ROU,60%,60%,11,17,4,3,75%,62%,61%,59%,198,204,175,178,142,142,31%,33%,39%,30%,133,117,53,34,40,34,86%,59%
Fourth,Andre Agassi,7-6(3) 6-3 6-4,2004,m,Andre Agassi,Paradorn Srichaphan,USA,THA,59%,63%,5,7,3,5,89%,69%,53%,44%,193,201,172,182,156,156,21%,13%,41%,26%,112,87,31,39,28,44,79%,50%
Fourth,Marat Safin,7-6(3) 6-3 6-7(6) 6-3,2004,m,Marat Safin,James Blake,RUS,USA,53%,63%,20,2,1,2,78%,70%,49%,50%,211,204,192,179,143,143,38%,27%,37%,35%,145,134,50,44,35,50,64%,69%
Fourth,Andy Roddick,6-1 6-2 6-3,2004,m,Andy Roddick,Sjeng Schalken,USA,NED,64%,77%,14,1,1,3,89%,59%,48%,20%,220,177,202,164,142,142,100%,0%,50%,26%,83,50,27,11,19,31,70%,71%
Fourth,Sebastien Grosjean,6-4 3-6 6-4 6-1,2004,m,Sebastien Grosjean,Robby Ginepri,FRA,USA,58%,64%,4,3,2,5,77%,61%,57%,51%,201,193,175,174,145,145,75%,60%,43%,31%,112,90,36,30,28,50,71%,60%
Third,Roger Federer,6-3 6-0 6-1,2004,m,Roger Federer,Todd Reid,SUI,AUS,54%,58%,5,1,3,3,74%,44%,65%,33%,193,196,173,159,129,129,57%,100%,61%,30%,83,45,31,6,29,31,79%,46%
